game_id,season,week,away_team,away_score,home_team,home_score,result,total,overtime,spread_line,proj_margin,abs_error,vegas_abs_error,sqd_error,vegas_sqd_error,straight_up_win,ATS_win,AE_ATS_win
2024_01_BAL_KC,2024,1,BAL,20,KC,27,7,47,0,3,1.5194630859796039,5.480536914020396,4,30.036284865940207,16,1,0,0
2024_01_GB_PHI,2024,1,GB,29,PHI,34,5,63,0,2,1.5274043727662416,3.4725956272337584,3,12.05892039028302,9,1,0,0
2024_01_PIT_ATL,2024,1,PIT,18,ATL,10,-8,28,0,4,2.287984499932689,10.287984499932689,12,105.84262507085526,144,0,1,1
2024_01_ARI_BUF,2024,1,ARI,28,BUF,34,6,62,0,6.5,19.906542149274493,13.906542149274491,0.5,193.39191454954803,0.25,1,0,0
2024_01_TEN_CHI,2024,1,TEN,17,CHI,24,7,41,0,4,6.468501931783624,0.5314980682163757,3,0.28249019651773916,9,1,1,1
2024_01_NE_CIN,2024,1,NE,16,CIN,10,-6,26,0,8,8.930831420707133,14.930831420707133,14,222.92972691357537,196,0,0,0
2024_01_HOU_IND,2024,1,HOU,29,IND,27,-2,56,0,-3,0.6613479690500479,2.661347969050048,1,7.082773012366815,1,0,1,0
2024_01_JAX_MIA,2024,1,JAX,17,MIA,20,3,37,0,3.5,7.371395881197427,4.371395881197427,0.5,19.109101950149828,0.25,1,0,0
2024_01_CAR_NO,2024,1,CAR,10,NO,47,37,57,0,3.5,12.947903786080367,24.052096213919633,33.5,578.5033322836472,1122.25,1,1,1
2024_01_MIN_NYG,2024,1,MIN,28,NYG,6,-22,34,0,-1,-4.355177040612293,17.644822959387707,21,311.33977726813555,441,1,1,1
2024_01_LV_LAC,2024,1,LV,10,LAC,22,12,32,0,3,2.911490156268944,9.088509843731057,9,82.60101117959631,81,1,0,0
2024_01_DEN_SEA,2024,1,DEN,20,SEA,26,6,46,0,6.5,4.5575413696264615,1.4424586303735385,0.5,2.0806869003391046,0.25,1,1,0
2024_01_DAL_CLE,2024,1,DAL,33,CLE,17,-16,50,0,2.5,-4.476998739363124,11.523001260636876,18.5,132.77955805263903,342.25,1,1,1
2024_01_WAS_TB,2024,1,WAS,20,TB,37,17,57,0,4,12.166151862014605,4.833848137985395,13,23.366087821104873,169,1,1,1
2024_01_LA_DET,2024,1,LA,20,DET,26,6,46,1,5,3.112364410229893,2.887635589770107,1,8.338439299306954,1,1,0,0
2024_01_NYJ_SF,2024,1,NYJ,19,SF,32,13,51,0,3.5,19.69065858879782,6.69065858879782,9.5,44.76491235185403,90.25,1,1,1
2024_02_BUF_MIA,2024,2,BUF,31,MIA,10,-21,41,0,2.5,-0.9801192546878736,20.019880745312125,23.5,400.79562505651916,552.25,1,1,1
2024_02_LV_BAL,2024,2,LV,26,BAL,23,-3,49,0,9,14.24727685270126,17.247276852701262,12,297.4685588337247,144,0,0,0
2024_02_LAC_CAR,2024,2,LAC,26,CAR,3,-23,29,0,-5,-22.25862946750584,0.7413705324941589,18,0.5496302664506727,324,1,1,1
2024_02_NO_DAL,2024,2,NO,44,DAL,19,-25,63,0,6.5,-2.5409183804385087,22.45908161956149,31.5,504.4103471941248,992.25,1,1,1
2024_02_TB_DET,2024,2,TB,20,DET,16,-4,36,0,7.5,-2.986318979409079,1.013681020590921,11.5,1.0275492115062512,132.25,1,1,1
2024_02_IND_GB,2024,2,IND,10,GB,16,6,26,0,-3,5.247275790913764,0.752724209086236,9,0.5665937349444996,81,1,1,1
2024_02_CLE_JAX,2024,2,CLE,18,JAX,13,-5,31,0,3,4.9481192209657205,9.94811922096572,8,98.96507603454762,64,0,0,0
2024_02_SF_MIN,2024,2,SF,17,MIN,23,6,40,0,-4.5,-12.261640558583489,18.261640558583487,10.5,333.4875158909014,110.25,0,0,0
2024_02_SEA_NE,2024,2,SEA,23,NE,20,-3,43,1,-3.5,-1.5681728535933588,1.4318271464066412,0.5,2.050128977186985,0.25,1,1,0
2024_02_NYJ_TEN,2024,2,NYJ,24,TEN,17,-7,41,0,-3.5,16.14174248860525,23.14174248860525,3.5,535.5402454089175,12.25,0,0,0
2024_02_NYG_WAS,2024,2,NYG,18,WAS,21,3,39,0,1.5,-2.893818072435561,5.893818072435561,1.5,34.73709147096803,2.25,0,0,0
2024_02_LA_ARI,2024,2,LA,10,ARI,41,31,51,0,-1,-6.927601413616957,37.927601413616955,32,1438.5029489901988,1024,0,0,0
2024_02_PIT_DEN,2024,2,PIT,13,DEN,6,-7,19,0,-3,-5.821585005497868,1.1784149945021323,4,1.3886618992674604,16,1,1,1
2024_02_CIN_KC,2024,2,CIN,25,KC,26,1,51,0,6.5,17.065539973286576,16.065539973286576,5.5,258.10157463326885,30.25,1,0,0
2024_02_CHI_HOU,2024,2,CHI,13,HOU,19,6,32,0,6,5.4270040002877735,0.5729959997122265,0,0.32832441568621384,0,1,0,0
2024_02_ATL_PHI,2024,2,ATL,22,PHI,21,-1,43,0,5.5,8.22958046906221,9.22958046906221,6.5,85.1851556348946,42.25,0,0,0
