team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
NYJ,0,18.21875,25,-2.2027905454261
LA,0,16.09375,19,-0.7736844245330343
CAR,0,24.28125,32,-3.909321442376643
SEA,0,15.75,21,-1.2335575309184457
MIN,0,11.53125,11,0.3975354219645525
HOU,0,13.9375,15,-0.03177773167987818
WAS,0,18.5625,14,0.06707532704914732
ARI,0,17.21875,12,0.3257440636584976
LAC,0,13,9,1.1468842810112618
MIA,0,13.28125,7,1.5623637934113954
ATL,0,17.5625,27,-2.237222001917598
TEN,0,20.53125,23,-1.7092413550377454
DET,0,10.875,1,5.192582363383547
CIN,0,14.625,8,1.335594639349465
CHI,0,19.21875,22,-1.5015564590383292
DAL,0,19.65625,20,-1.1859503445169153
LV,0,22.1875,29,-3.0788897837899336
NYG,0,21.65625,28,-2.3232304339518195
GB,0,10.53125,6,1.9977592701607203
DEN,0,13.875,17,-0.10763778205719454
JAX,0,21.59375,26,-2.215898060698158
KC,0,10.46875,5,2.517596233259644
BAL,0,7.3125,4,2.945198199764632
PHI,0,7.0625,2,4.421540230408854
PIT,0,16.09375,16,-0.10201681337390434
CLE,0,22.125,30,-3.1832457116470563
SF,0,12.78125,13,0.2446469095148569
NO,0,17.75,18,-0.7696917326344997
BUF,0,10.40625,3,3.6251862999195175
NE,0,21.625,31,-3.681956982346931
TB,0,13,10,1.1150580162279775
IND,0,17.96875,24,-1.7551497341075173
NO,1,18.625,29,4.7152732224439555
BUF,1,13.9375,2,11.735387491875056
JAX,1,15.59375,13,7.497540869588012
CLE,1,20.46875,28,4.879889954768993
PHI,1,8.90625,4,10.289794951116097
GB,1,9.4375,7,8.703608408834947
LA,1,13.59375,23,5.8490003348727075
LAC,1,12.53125,5,10.133980755321394
NE,1,21.6875,30,4.219685398905723
IND,1,11.78125,1,15.801395241169937
CHI,1,18.90625,24,5.700964056560567
WAS,1,11.59375,8,8.506490448211448
NYJ,1,16.1875,20,6.553708329017686
SEA,1,17.53125,26,5.076128514082421
ATL,1,16.21875,14,7.399722271639868
DEN,1,12.59375,6,9.42184564012446
ARI,1,15.1875,11,7.576145072548046
BAL,1,12.03125,12,7.562990946193143
CAR,1,23.0625,31,3.0363517016082895
CIN,1,14.625,19,6.605855468541632
DAL,1,19.46875,22,5.9407967397404065
DET,1,13.53125,3,11.14372707650418
HOU,1,16.3125,9,8.4429519053947
KC,1,15.375,15,7.29989458304532
LV,1,17.5,27,4.958361805206495
MIA,1,20.375,32,-0.6727554502078581
MIN,1,13.03125,10,8.18565256331504
NYG,1,22.59375,17,6.943959844205342
PIT,1,17.71875,16,7.22928782450725
SF,1,12.84375,18,6.698201062739023
TB,1,14.5625,21,6.003103860530727
TEN,1,19.75,25,5.2808847790448965
NO,2,18.8125,17,-2.9513189141179064
BUF,2,10.8125,1,6.2045307145843696
JAX,2,17.90625,21,-4.210193215561684
CLE,2,21.4375,32,-9.32490804596548
PHI,2,10.375,11,0.8765455403504255
GB,2,9.28125,4,3.691480144544027
LA,2,12.96875,8,2.2614932636323744
LAC,2,10.875,3,3.740433216642111
NE,2,20.34375,20,-3.98115662017362
IND,2,12.90625,2,4.4463750337416
CHI,2,21.5,23,-4.521549255716727
WAS,2,15.15625,14,-0.7802643764027755
NYJ,2,18.40625,10,1.1236104194148706
SEA,2,13.71875,15,-1.7707499249977845
ATL,2,15.25,12,0.05143257341399887
DEN,2,14.4375,19,-3.307520948906366
MIN,2,12.4375,7,2.3139054821795138
ARI,2,14.1875,18,-3.103818232139271
DET,2,11.28125,5,3.4551042872819124
BAL,2,9.96875,9,1.286709543397925
CIN,2,13.84375,27,-6.381882820386405
LV,2,20.09375,29,-6.674471962857437
TEN,2,20.4375,25,-5.398596237681983
MIA,2,18.1875,16,-2.878936714912856
DAL,2,21.59375,28,-6.458298134901123
KC,2,14.375,13,-0.04901296955476564
PIT,2,19.15625,24,-5.379086716946606
HOU,2,15.15625,6,2.391848782764157
CAR,2,23.96875,31,-7.2013592658670635
NYG,2,20.625,22,-4.484063925451394
SF,2,14.71875,26,-6.348761613928177
TB,2,14.6875,30,-7.126274149295264
BUF,3,11.15625,1,8.859363647880611
DET,3,10.0625,2,8.731625155598355
PHI,3,10,3,7.645959805315909
LAC,3,11.21875,4,7.5557051421466515
IND,3,12.375,5,7.000735282381271
GB,3,9.46875,6,6.577340867296812
TB,3,12.6875,7,6.368941780143583
