game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_VoA_Rating,home_team,home_VoA_Rating,location,result,total,overtime,spread_line,total_line,div_game,temp,wind,stadium,proj_margin,proj_margin_abs,proj_winner,home_win_prob,win_prob
2025_02_WAS_GB,2025,REG,2,2025-09-11,Thursday,20:15,WAS,8.506490448211448,GB,8.703608408834947,Home,NA,NA,NA,3,48.5,0,NA,NA,Lambeau Field,2.6971179606234994,2.6971179606234994,GB,0.5645347702869685,0.5645347702869685
2025_02_CLE_BAL,2025,REG,2,2025-09-14,Sunday,13:00,CLE,4.879889954768993,BAL,7.562990946193143,Home,NA,NA,NA,11.5,45.5,1,NA,NA,M&T Bank Stadium,5.1831009914241495,5.1831009914241495,BAL,0.6220697974118865,0.6220697974118865
2025_02_JAX_CIN,2025,REG,2,2025-09-14,Sunday,13:00,JAX,7.497540869588012,CIN,6.605855468541632,Home,NA,NA,NA,3,48.5,0,NA,NA,Paycor Stadium,1.60831459895362,1.60831459895362,CIN,0.538701815873267,0.538701815873267
2025_02_NYG_DAL,2025,REG,2,2025-09-14,Sunday,13:00,NYG,6.943959844205342,DAL,5.9407967397404065,Home,NA,NA,NA,4.5,44.5,1,NA,NA,AT&T Stadium,1.4968368955350648,1.4968368955350648,DAL,0.5360432382830866,0.5360432382830866
2025_02_CHI_DET,2025,REG,2,2025-09-14,Sunday,13:00,CHI,5.700964056560567,DET,11.14372707650418,Home,NA,NA,NA,6,46.5,1,NA,NA,Ford Field,7.942763019943612,7.942763019943612,DET,0.6822265025860224,0.6822265025860224
2025_02_NE_MIA,2025,REG,2,2025-09-14,Sunday,13:00,NE,4.219685398905723,MIA,-0.6727554502078581,Home,NA,NA,NA,1.5,43.5,1,NA,NA,Hard Rock Stadium,-2.392440849113581,2.392440849113581,NE,0.44308639821209406,0.5569136017879059
2025_02_SF_NO,2025,REG,2,2025-09-14,Sunday,13:00,SF,6.698201062739023,NO,4.7152732224439555,Home,NA,NA,NA,-3,40.5,0,NA,NA,Mercedes-Benz Superdome,0.5170721597049326,0.5170721597049326,NO,0.5126085188197365,0.5126085188197365
2025_02_BUF_NYJ,2025,REG,2,2025-09-14,Sunday,13:00,BUF,11.735387491875056,NYJ,6.553708329017686,Home,NA,NA,NA,-6.5,46.5,1,NA,NA,MetLife Stadium,-2.6816791628573693,2.6816791628573693,BUF,0.43624857726075916,0.5637514227392408
2025_02_SEA_PIT,2025,REG,2,2025-09-14,Sunday,13:00,SEA,5.076128514082421,PIT,7.22928782450725,Home,NA,NA,NA,3,39.5,0,NA,NA,Acrisure Stadium,4.6531593104248286,4.6531593104248286,PIT,0.6100235495451392,0.6100235495451392
2025_02_LA_TEN,2025,REG,2,2025-09-14,Sunday,13:00,LA,5.8490003348727075,TEN,5.2808847790448965,Home,NA,NA,NA,-5.5,41.5,0,NA,NA,Nissan Stadium,1.931884444172189,1.931884444172189,TEN,0.5464059529802601,0.5464059529802601
2025_02_CAR_ARI,2025,REG,2,2025-09-14,Sunday,16:05,CAR,3.0363517016082895,ARI,7.576145072548046,Home,NA,NA,NA,6.5,44.5,0,NA,NA,State Farm Stadium,7.039793370939757,7.039793370939757,ARI,0.6630676407232658,0.6630676407232658
2025_02_DEN_IND,2025,REG,2,2025-09-14,Sunday,16:05,DEN,9.42184564012446,IND,15.801395241169937,Home,NA,NA,NA,-1.5,42.5,0,NA,NA,Lucas Oil Stadium,8.879549601045476,8.879549601045476,IND,0.701495860257573,0.701495860257573
2025_02_PHI_KC,2025,REG,2,2025-09-14,Sunday,16:25,PHI,10.289794951116097,KC,7.29989458304532,Home,NA,NA,NA,-1.5,46.5,0,NA,NA,GEHA Field at Arrowhead Stadium,-0.48990036807077786,0.48990036807077786,PHI,0.4884681810932666,0.5115318189067334
2025_02_ATL_MIN,2025,REG,2,2025-09-14,Sunday,20:20,ATL,7.399722271639868,MIN,8.18565256331504,Home,NA,NA,NA,3.5,44.5,0,NA,NA,U.S. Bank Stadium,3.2859302916751725,3.2859302916751725,MIN,0.5783742496959616,0.5783742496959616
2025_02_TB_HOU,2025,REG,2,2025-09-15,Monday,19:00,TB,6.003103860530727,HOU,8.4429519053947,Home,NA,NA,NA,2.5,42.5,0,NA,NA,NRG Stadium,4.939848044863973,4.939848044863973,HOU,0.6165573798768305,0.6165573798768305
2025_02_LAC_LV,2025,REG,2,2025-09-15,Monday,22:00,LAC,10.133980755321394,LV,4.958361805206495,Home,NA,NA,NA,-3,46.5,1,NA,NA,Allegiant Stadium,-2.675618950114899,2.675618950114899,LAC,0.43639161516919045,0.56360838483080955
